customer_id,name,country,age,total_spent
1,Yule,Pakistan,39,4431
2,Emmalee,Pakistan,31,6974
3,Angelle,Nepal,40,4905
4,Osbourn,Iran,33,4861
5,Trixy,Nepal,25,5316
6,Orton,Iran,61,1189
7,Mable,Iran,18,8782
8,Zorine,Iran,58,1622
9,Janette,Nepal,60,4252
10,Sapphire,Pakistan,69,9982
11,Allsun,Iran,51,692
12,Fletch,Pakistan,39,5287
13,Giorgi,Iran,48,7205
14,Calhoun,Pakistan,21,4833
15,Maximilien,Bangladesh,51,626
16,Husain,Iran,69,6433
17,Lucille,Iran,52,6464
18,Caty,Pakistan,41,7897
19,Lisette,Iran,42,1338
20,Egor,Iran,25,807
21,Jaymie,Nepal,63,1989
22,Elisabet,Pakistan,62,3058
23,Vidovic,Iran,43,6943
24,Olly,Bhutan,47,1576
25,Barth,Iran,45,7842
26,Fara,Iraq,58,9308
27,Evan,Bhutan,28,1764
28,Jocelyn,Iran,36,4432
29,Stafford,Pakistan,39,7398
30,Gran,Pakistan,66,5867
31,Joshuah,Bhutan,43,3973
32,Teador,Iran,26,4741
33,Stephannie,Nepal,45,957
34,Cesare,Pakistan,65,3250
35,Nikola,Pakistan,34,4713
36,Jasmin,Iran,33,6695
37,Antoni,Iran,26,2404
38,Verna,Iran,53,4367
39,Rafaello,Pakistan,18,8457
40,Garek,Iran,30,2038
41,Karoline,Iran,18,3081
42,Darren,Bangladesh,45,6429
43,Lian,Iran,63,8598
44,Melicent,Pakistan,66,1067
45,Daren,Pakistan,35,7087
46,Joline,Pakistan,30,5472
47,Loralee,Pakistan,37,4629
48,Arlana,Pakistan,58,9306
49,Katlin,Iran,60,587
50,Binni,Nepal,32,6894
51,Eadith,Bangladesh,25,9483
52,Starla,Iran,54,1848
53,Cymbre,Bangladesh,27,6410
54,Kalindi,Pakistan,38,6468
55,Minta,Pakistan,62,6472
56,Hinda,Iran,60,5314
57,Augie,Bangladesh,70,8130
58,Kiersten,Nepal,68,5091
59,Blaine,Pakistan,49,1857
60,Bridget,Pakistan,69,8987
61,Marlin,Iran,45,5764
62,Dionysus,Iraq,33,5859
63,Ives,Bangladesh,24,1299
64,Modesty,Pakistan,24,4611
65,Guido,Iran,53,6542
66,Duane,Bangladesh,61,1283
67,Carl,Nepal,41,2900
68,Elwyn,Bangladesh,42,2629
69,Gustavo,Iran,40,9002
70,Nanon,Nepal,43,2141
71,Chariot,Nepal,46,880
72,Celestyn,Pakistan,66,8481
73,Marshal,Iran,67,1879
74,Charles,Pakistan,25,2425
75,Laraine,Pakistan,33,2882
76,Glenn,Pakistan,56,4014
77,Ailey,Nepal,19,9138
78,Tabb,Pakistan,23,6877
79,Addie,Bangladesh,40,2613
80,Davey,Iran,20,8400
81,Dyann,Pakistan,54,6647
82,Ashly,Nepal,32,7040
83,Belinda,Pakistan,51,619
84,Isiahi,Iran,68,8898
85,Estrellita,Pakistan,43,4598
86,Kathie,Bhutan,33,7615
87,Weylin,Pakistan,20,1018
88,Levin,Iran,65,2984
89,Yoshiko,Bangladesh,34,9869
90,Maximilian,Pakistan,49,8411
91,Emiline,Iran,61,3951
92,Frederich,Pakistan,50,5960
93,Huntley,Bangladesh,38,8611
94,Correna,Pakistan,56,8690
95,Duncan,Iran,25,3781
96,Lucille,Pakistan,20,2470
97,Waring,Iran,28,9607
98,Marika,Pakistan,70,1066
99,Kiley,Pakistan,24,9907
100,Fanni,Pakistan,23,9323
101,Harald,Pakistan,48,9268
102,Clarke,Pakistan,38,2858
103,Kristin,Iran,65,1677
104,Bryn,Iraq,59,5738
105,Ira,Nepal,26,3606
106,Gaby,Iran,60,1696
107,Teodor,Iran,21,9637
108,Holly,Iran,24,2690
109,Isiahi,Pakistan,64,1482
110,Jerri,Pakistan,20,6460
111,Gunther,Iran,32,4267
112,Loretta,Iran,63,1836
113,Jobey,Nepal,32,6300
114,Nicol,Nepal,57,7093
115,Phyllys,Pakistan,43,1529
116,Doria,Iran,18,5716
117,Dannye,Bhutan,38,4588
118,Chet,Bangladesh,40,2313
119,Woody,Iran,58,7281
120,Colver,Pakistan,49,9045
121,Granville,Nepal,59,6444
122,Bronny,Pakistan,68,8668
123,Emelita,Iran,34,8314
124,Karlotte,Iran,34,9534
125,Paige,Nepal,60,8452
126,Patty,Pakistan,60,4347
127,Marcelia,Iran,33,3081
128,Ealasaid,Iran,58,1309
129,Gwenni,Iran,33,2035
130,Leslie,Iran,18,8240
131,Ara,Iran,42,7851
132,Ulla,Pakistan,59,1514
133,Ivy,Iran,66,9030
134,Chrissie,Pakistan,39,5361
135,Elisha,Iran,19,7101
136,Ailey,Bangladesh,70,1295
137,Lou,Iran,28,2879
138,Jasper,Iran,32,7897
139,Warren,Iran,69,3386
140,Junette,Bangladesh,65,4498
141,Sharai,Bangladesh,40,2898
142,Tait,Pakistan,27,7853
143,Ermentrude,Nepal,27,5875
144,Bernardo,Pakistan,35,6369
145,Olivia,Pakistan,51,7698
146,Horatius,Pakistan,61,2967
147,Hiram,Bangladesh,46,7676
148,Becki,Pakistan,45,9164
149,Barn,Nepal,41,8105
150,Florence,Nepal,18,6155
151,Rodd,Bangladesh,40,3824
152,Maddie,Bangladesh,43,9157
153,Mildrid,Bangladesh,57,7022
154,Bettye,Iran,21,1854
155,Alex,Iran,50,9219
156,Sandy,Nepal,45,3798
157,Tessy,Iran,29,9848
158,Robbin,Pakistan,45,4097
159,Wynn,Pakistan,55,3129
160,Mag,Pakistan,48,7057
161,Lilllie,Pakistan,29,7765
162,Catriona,Iran,20,7808
163,Sharron,Pakistan,59,6000
164,Beauregard,Pakistan,66,2266
165,Megan,Pakistan,41,881
166,Kristy,Iran,43,790
167,Cedric,Bangladesh,46,1587
168,Fawn,Bhutan,51,1770
169,Hillier,Bangladesh,66,5231
170,Ailina,Pakistan,56,5674
171,Nat,Iraq,34,1762
172,Sonnnie,Nepal,37,3381
173,Cordy,Bangladesh,64,6899
174,Orv,Iran,41,4319
175,Annalee,Pakistan,60,5883
176,Eduardo,Pakistan,19,9824
177,Kora,Iran,29,8129
178,Jamil,Pakistan,27,2127
179,Zackariah,Pakistan,42,9325
180,Jorry,Iran,56,2725
181,Diane-marie,Bangladesh,28,9736
182,Adan,Bangladesh,21,6812
183,Blondell,Bangladesh,49,5247
184,Malvin,Iran,63,3299
185,Gage,Iran,62,6516
186,Haily,Iran,63,2789
